qty,Manufacturer,REF,Title,Description,Short Desc,price,selling incl,category ID,In Stock Text,Tax ID,Supplier,Primary image,2nd image,3rd image,BARCODE,length,width (mm),height (mm),weight (grams),delete images
200,TOWER,FACESMIX,"TOWER Reward Range, Mixed Colour Faces, 200 Stickers - 5 Sheets","• Use to reward, praise, encourage, and build self-esteem in children of all ages.
• Great to use on reward and behaviour charts
• Use for decorating and scrapbooking
• Variety of expressions and vibrant colours
• Made from a semi gloss paper, they are easy to peel and apply.
• These labels are made in our factory in Cape Town, South Africa.
• 200 stickers                                                                                                                                                       ","TOWER Reward Range, Mixed Colour Faces, 200 Stickers - 5 Sheets",23.92,36,1985,IN STOCK at EXTERNAL supplier. <br> If ordered before 10AM: <br>DELIVERED in 3-4 Days (main centres) <br>or 4-5 days (regional areas or large items)<br>COLLECTION from Geewiz available in 2-3 Days,1,Tower,https://drive.google.com/uc?id=1L6zY83VXYVry1YpLcs85bo-w1zaFLDkR&export=download,https://drive.google.com/uc?id=16zTyYzVYryHat5VbozaMGrCCIvt18Asz&export=download,,6.00287E+12,1,115,210,23,Y
200,TOWER,FACESMIXS10,"TOWER Reward Range, Mixed Colour Faces Value Pack, 400 Stickers - 10 Sheets","• Use to reward, praise, encourage, and build self-esteem in children of all ages.
• Great to use on reward and behaviour charts
• Use for decorating and scrapbooking
• Variety of expressions and vibrant colours
• Made from a semi gloss paper, they are easy to peel and apply.
• These labels are made in our factory in Cape Town, South Africa.
•10 sheet value pack
• 400 stickers                                                                                                                                                       ","TOWER Reward Range, Mixed Colour Faces Value Pack, 400 Stickers - 10 Sheets",41,61,1985,IN STOCK at EXTERNAL supplier. <br> If ordered before 10AM: <br>DELIVERED in 3-4 Days (main centres) <br>or 4-5 days (regional areas or large items)<br>COLLECTION from Geewiz available in 2-3 Days,1,Tower,https://drive.google.com/uc?id=1djV2RJu4effCLlKwMz2FIZFUqhPFYm7Y&export=download,https://drive.google.com/uc?id=1c1MTy-IliwpakC0-GWUfkGrXMnDmcKJp&export=download,,6.00287E+12,1,115,210,23,Y
200,TOWER,FACESMIX/MET,"TOWER Reward Range, Mixed Metallic Faces Value Pack, 200 Stickers - 5 Sheets","• Use to reward, praise, encourage, and build self-esteem in children of all ages.
• Great to use on reward and behaviour charts
• Use for decorating and scrapbooking
• Variety of expressions and metallic colours
• Made from a semi gloss paper, they are easy to peel and apply.
• These labels are made in our factory in Cape Town, South Africa.
• 400 stickers                                                                                                                                                   ","TOWER Reward Range, Mixed Metallic Faces Value Pack, 200 Stickers - 5 Sheets",23.92,36,1985,IN STOCK at EXTERNAL supplier. <br> If ordered before 10AM: <br>DELIVERED in 3-4 Days (main centres) <br>or 4-5 days (regional areas or large items)<br>COLLECTION from Geewiz available in 2-3 Days,1,Tower,https://drive.google.com/uc?id=1Yrmh_Ov3HKh_tBrjUTJjD75u8EBtpmaO&export=download,https://drive.google.com/uc?id=1J6nkZ97wDNgt2p4t9onl_me4qf3xOFSP&export=download,,6.00287E+12,1,115,210,23,Y
200,TOWER,FACESMIX/METS10,"TOWER Reward Range, Mixed Metallic Faces Value Pack, 400 Stickers - 10 Sheets","• Use to reward, praise, encourage, and build self-esteem in children of all ages.
• Great to use on reward and behaviour charts
• Use for decorating and scrapbooking
• Variety of expressions and metallic colours
• Made from a semi gloss paper, they are easy to peel and apply.
• These labels are made in our factory in Cape Town, South Africa.
•10 sheet value pack
• 400 stickers                                                                                                                                                       ","TOWER Reward Range, Mixed Metallic Faces Value Pack, 400 Stickers - 10 Sheets",41,61,1985,IN STOCK at EXTERNAL supplier. <br> If ordered before 10AM: <br>DELIVERED in 3-4 Days (main centres) <br>or 4-5 days (regional areas or large items)<br>COLLECTION from Geewiz available in 2-3 Days,1,Tower,https://drive.google.com/uc?id=1HT-BFKe7TviAuen-ZMEcH7wOwwpmrKtw&export=download,https://drive.google.com/uc?id=1DsJGmUW9h7OUEmJd8FZIqMfAkGZixwhI&export=download,,6.00287E+12,1,115,210,23,Y
200,TOWER,T/STGO,"TOWER Reward Range, Teachers Gold Stars, 140 Stickers - 5 Sheets","•Use to reward, praise, encourage, and build self-esteem in children of all ages.
•Assorted designs in premium gold colour
•They are easy to peel and apply.
•These labels are made in our factory in Cape Town, South Africa. 
•140 stickers                                                                                                                                                         ","TOWER Reward Range, Teachers Gold Stars, 140 Stickers - 5 Sheets",23.92,36,1985,IN STOCK at EXTERNAL supplier. <br> If ordered before 10AM: <br>DELIVERED in 3-4 Days (main centres) <br>or 4-5 days (regional areas or large items)<br>COLLECTION from Geewiz available in 2-3 Days,1,Tower,https://drive.google.com/uc?id=1sq_PIMotWhHisuAgzDy7sPqHo8AfeIvM&export=download,,,6.00287E+12,1,115,210,23,Y
200,TOWER,T/STGOS10,"TOWER Reward Range, Teachers Gold Stars Value Pack, 280 Stickers - 10 Sheets","•Use to reward, praise, encourage, and build self-esteem in children of all ages.
•Assorted designs in premium gold colour
•They are easy to peel and apply.
•These labels are made in our factory in Cape Town, South Africa.
•10 Sheet value pack 
•280 stickers                                                                                                                                                         ","TOWER Reward Range, Teachers Gold Stars Value Pack, 280 Stickers - 10 Sheets",41,61,1985,IN STOCK at EXTERNAL supplier. <br> If ordered before 10AM: <br>DELIVERED in 3-4 Days (main centres) <br>or 4-5 days (regional areas or large items)<br>COLLECTION from Geewiz available in 2-3 Days,1,Tower,https://drive.google.com/uc?id=17CCAyzsGJ42YSb3TIKxM-Z-OXA78WIVX&export=download,,,6.00287E+12,1,115,210,23,Y
200,TOWER,T/STMC,"TOWER Reward Range, Teachers Mixed Colour Stars, 140 Stickers - 5 Sheets","•Use to reward, praise, encourage, and build self-esteem in children of all ages.
•Assorted designs in variety of colours
•They are easy to peel and apply.
•These labels are made in our factory in Cape Town, South Africa. 
•140 stickers                                                                                                                                                         ","TOWER Reward Range, Teachers Mixed Colour Stars, 140 Stickers - 5 Sheets",23.92,36,1985,IN STOCK at EXTERNAL supplier. <br> If ordered before 10AM: <br>DELIVERED in 3-4 Days (main centres) <br>or 4-5 days (regional areas or large items)<br>COLLECTION from Geewiz available in 2-3 Days,1,Tower,,,,6.00287E+12,1,115,210,23,Y
200,TOWER,T/STMCS10,"TOWER Reward Range, Teachers Mixed Colour Stars Value Pack, 280 Stickers - 10 Sheets","•Use to reward, praise, encourage, and build self-esteem in children of all ages.
•Assorted designs in variety of colours
•They are easy to peel and apply.
•These labels are made in our factory in Cape Town, South Africa.
•10 Sheet value pack 
•280 stickers                                                                                                                                                         ","TOWER Reward Range, Teachers Mixed Colour Stars Value Pack, 280 Stickers - 10 Sheets",41,61,1985,IN STOCK at EXTERNAL supplier. <br> If ordered before 10AM: <br>DELIVERED in 3-4 Days (main centres) <br>or 4-5 days (regional areas or large items)<br>COLLECTION from Geewiz available in 2-3 Days,1,Tower,https://drive.google.com/uc?id=1VQbeB9n9BlopCnStdfrg0Pf4c41tyFLE&export=download,,,6.00287E+12,1,115,210,23,Y
200,TOWER,T/LABELSMIX,"TOWER Reward Range, Mixed Colour Teachers Labels, 200 Stickers - 5 Sheets","•Use to reward, praise, encourage, and build self-esteem in children of all ages.
•Assorted designs in vibrant colours
•Made from a semi gloss paper, they are easy to peel and apply.
•These labels are made in our factory in Cape Town, South Africa.
•200 stickers                                                                                                                                                         ","TOWER Reward Range, Mixed Colour Teachers Labels, 200 Stickers - 5 Sheets",23.92,36,1986,IN STOCK at EXTERNAL supplier. <br> If ordered before 10AM: <br>DELIVERED in 3-4 Days (main centres) <br>or 4-5 days (regional areas or large items)<br>COLLECTION from Geewiz available in 2-3 Days,1,Tower,https://drive.google.com/uc?id=16x5jbQpq5-VWqfeiZPcnCWvWDs731zbl&export=download,https://drive.google.com/uc?id=16x5jbQpq5-VWqfeiZPcnCWvWDs731zbl&export=download,,6.00287E+12,1,115,210,23,Y
200,TOWER,T/LABELSMIXS10,"TOWER Reward Range, Mixed Colour Teachers Labels Value Pack, 400 Stickers - 10 Sheets","•Use to reward, praise, encourage, and build self-esteem in children of all ages.
•Assorted designs in vibrant colours
•Made from a semi gloss paper, they are easy to peel and apply.
•These labels are made in our factory in Cape Town, South Africa.
•10 Sheet value pack
•400 stickers                                                                                                                                                         ","TOWER Reward Range, Mixed Colour Teachers Labels Value Pack, 400 Stickers - 10 Sheets",41,61,1986,IN STOCK at EXTERNAL supplier. <br> If ordered before 10AM: <br>DELIVERED in 3-4 Days (main centres) <br>or 4-5 days (regional areas or large items)<br>COLLECTION from Geewiz available in 2-3 Days,1,Tower,https://drive.google.com/uc?id=1tGQeSA3UDhJP70s8OfmJ1MGUrm6i1HWy&export=download,,,6.00287E+12,1,115,210,23,Y
